id,name,specialty,experience,symptoms,schedule,cost,content,
1,Nguyễn Thế Tùng,Nội khoa,5,"ho, sốt, đau họng, khó thở, đau ngực","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Thị Nội là bác sĩ khoa, có 5 năm kinh nghiệm. Bác sĩ Nội có thể khám các triệu chứng như ho, sốt, đau đầu. Lịch khám của bác sĩ là từ Thứ 2 đến Thứ 7. Chi phí khám là 200.000 đồng.",
2,Nguyễn Văn C,Tai mũi họng,3,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn C là bác sĩ Tai mũi họng, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
3,Nguyễn Văn D,Da liễu,4,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn D là bác sĩ Da liễu, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
4,Nguyễn Văn E,Tim mạch,5,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn E là bác sĩ Tim mạch, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
5,Nguyễn Văn F,Tiêu hóa,6,"đau bụng, tiêu chảy, táo bón","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn F là bác sĩ Tiêu hóa, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
6,Nguyễn Văn G,Cơ xương khớp,7,"đau lưng, đau gối, viêm khớp","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn G là bác sĩ Cơ xương khớp, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
7,Nguyễn Văn H,Phụ sản,8,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn H là bác sĩ Phụ sản, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
8,Nguyễn Văn I,Nội khoa,9,"ho, sốt, đau họng","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn I là bác sĩ Nội khoa, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
9,Nguyễn Văn J,Nhi khoa,10,"sốt cao, viêm phổi, đau bụng","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn J là bác sĩ Nhi khoa, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
10,Nguyễn Văn K,Tai mũi họng,1,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn K là bác sĩ Tai mũi họng, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
